time_index,sea_height
201008076 ,91
201008077 ,86
201008078 ,86
201008079 ,78
2010080710,75
2010080711,75
2010080712,75
2010080713,82
2010080714,88
2010080715,94
2010080716,94
2010080717,101
2010080718,101
2010080719,98
2010080720,98
2010080721,88
2010080722,83
2010080723,78
201008080 ,78
201008081 ,77
201008082 ,79
201008083 ,83
201008084 ,83
201008085 ,87
201008086 ,86
201008087 ,82
201008088 ,82
201008089 ,71
2010080810,65
2010080811,61
2010080812,61
2010080813,63
2010080814,69
2010080815,76
2010080816,76
2010080817,89
2010080818,94
2010080819,94
2010080820,94
2010080821,85
2010080822,78
2010080823,71
201008090 ,71
201008091 ,65
201008092 ,67
201008093 ,71
201008094 ,71
201008095 ,83
201008096 ,87
201008097 ,89
201008098 ,89
201008099 ,82
2010080910,76
2010080911,69
2010080912,69
2010080913,66
2010080914,69
2010080915,77
2010080916,77
2010080917,94
2010080918,103
2010080919,108
2010080920,108
2010080921,104
2010080922,96
2010080923,86
201008100 ,86
201008101 ,73
201008102 ,71
201008103 ,74
201008104 ,74
201008105 ,86
201008106 ,93
201008107 ,97
201008108 ,97
201008109 ,94
2010081010,86
2010081011,77
2010081012,77
2010081013,63
2010081014,62
2010081015,67
2010081016,67
2010081017,84
2010081018,94
2010081019,103
2010081020,103
2010081021,104
2010081022,97
2010081023,85
201008110 ,85
201008111 ,66
201008112 ,60
201008113 ,61
201008114 ,61
201008115 ,73
201008116 ,83
201008117 ,92
201008118 ,92
201008119 ,98
2010081110,93
2010081111,84
2010081112,84
2010081113,67
2010081114,62
2010081115,64
2010081116,64
2010081117,80
2010081118,93
2010081119,105
2010081120,105
2010081121,113
2010081122,109
2010081123,98
201008120 ,98
201008121 ,73
201008122 ,62
201008123 ,58
201008124 ,58
201008125 ,66
201008126 ,76
201008127 ,86
201008128 ,86
201008129 ,98
2010081210,97
2010081211,89
2010081212,89
2010081213,71
2010081214,63
2010081215,61
2010081216,61
2010081217,74
2010081218,88
2010081219,102
2010081220,102
2010081221,120
2010081222,121
2010081223,114
201008130 ,114
